epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,1009.89,1.40169,1.00239,0.02497,0.9007,0.85312,0.92603,0.61939,1.20744,0.75856,0.02759,0.026931,0.008977,0.026931,0.008977,0.026931,0.008977,0.026931,0.008977
33,1040.67,1.40393,0.99703,0.025,0.90895,0.85797,0.93731,0.62883,1.17905,0.72903,0.02725,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944
34,1071.56,1.39386,0.99215,0.02471,0.91007,0.85733,0.93756,0.63126,1.17679,0.74625,0.02729,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
35,1102.67,1.39641,0.99302,0.02484,0.92662,0.85988,0.94589,0.64291,1.17031,0.72754,0.02687,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878
36,1134.48,1.38759,0.97419,0.02457,0.91845,0.84901,0.93541,0.62623,1.18698,0.73409,0.02716,0.026535,0.008845,0.026535,0.008845,0.026535,0.008845,0.026535,0.008845
37,1166.37,1.37964,0.9766,0.02443,0.91855,0.86692,0.94543,0.63809,1.18616,0.73317,0.02722,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
38,1197.53,1.37925,0.97639,0.02426,0.87747,0.85413,0.92149,0.60866,1.26301,0.76899,0.03003,0.026337,0.008779,0.026337,0.008779,0.026337,0.008779,0.026337,0.008779
39,1228.74,1.36972,0.96407,0.02417,0.90566,0.81126,0.89955,0.60389,1.22,0.78994,0.02768,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746
40,1260.04,1.37237,0.96958,0.02419,0.89804,0.86628,0.93808,0.6288,1.17531,0.74149,0.02689,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
41,1291.14,1.36456,0.95105,0.02398,0.91917,0.8714,0.94969,0.64584,1.14905,0.70448,0.0261,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868
42,1322.62,1.3618,0.95354,0.02423,0.93048,0.87076,0.94903,0.65475,1.13759,0.69991,0.02588,0.025941,0.008647,0.025941,0.008647,0.025941,0.008647,0.025941,0.008647
43,1353.76,1.35742,0.94538,0.02396,0.93488,0.88183,0.95427,0.64991,1.15198,0.67648,0.02637,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
44,1385.29,1.3495,0.94719,0.02378,0.92329,0.87652,0.95071,0.65024,1.14285,0.69975,0.02648,0.025743,0.008581,0.025743,0.008581,0.025743,0.008581,0.025743,0.008581
45,1416.42,1.35725,0.9441,0.02384,0.90833,0.84311,0.9307,0.63608,1.13184,0.73621,0.02524,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548
46,1447.35,1.33461,0.93434,0.02352,0.93864,0.88164,0.9567,0.66011,1.12888,0.65941,0.02599,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
47,1478.28,1.33961,0.93473,0.02358,0.93464,0.87396,0.95379,0.66296,1.11292,0.65814,0.02505,0.025446,0.008482,0.025446,0.008482,0.025446,0.008482,0.025446,0.008482
48,1509.71,1.333,0.92869,0.02344,0.92434,0.84419,0.94632,0.66232,1.10174,0.67882,0.02449,0.025347,0.008449,0.025347,0.008449,0.025347,0.008449,0.025347,0.008449
