epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,79.1834,3.77437,3.15684,0.08451,0.00306,0.78951,0.01588,0.00273,3.65504,2.95858,0.11045,0.00991525,0.00330508,0.00991525,0.00330508,0.00991525,0.00330508,0.00991525,0.00330508
2,133.442,3.69858,3.03568,0.08228,0.00132,0.1753,0.0008,0.00016,3.85675,inf,0.12168,0.0197181,0.0065727,0.0197181,0.0065727,0.0197181,0.0065727,0.0197181,0.0065727
3,187.991,3.49724,2.93807,0.076,1e-05,0.00192,0,0,5.29349,inf,0.41403,0.0293229,0.00977431,0.0293229,0.00977431,0.0293229,0.00977431,0.0293229,0.00977431
4,225.481,3.10448,2.82295,0.06646,0.00737,0.30966,0.00553,0.00129,3.3068,inf,0.10434,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,274.006,2.43515,2.23756,0.05049,0.01705,0.14907,0.00927,0.00194,2.93416,inf,0.08997,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,328.038,2.05176,1.84568,0.04048,0.56433,0.52143,0.50822,0.22093,1.97671,2.13844,0.05161,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,364.016,1.91039,1.67448,0.03672,0.7398,0.57134,0.67418,0.30813,1.80228,2.04736,0.04605,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,393.855,1.83132,1.56474,0.03474,0.62967,0.61932,0.65225,0.32265,1.66923,1.65019,0.04202,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,422.82,1.75889,1.46964,0.03334,0.61766,0.50544,0.57563,0.28302,1.76045,2.14602,0.04585,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,453.039,1.71695,1.41951,0.03235,0.76925,0.66539,0.75609,0.40948,1.62274,1.30005,0.03979,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,504.874,1.68594,1.3652,0.03143,0.76065,0.71657,0.78801,0.43477,1.59876,1.36326,0.03944,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,558.917,1.65237,1.31588,0.03065,0.84192,0.75645,0.84841,0.47923,1.47274,1.09212,0.03558,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,612.51,1.6322,1.28556,0.03016,0.82705,0.69354,0.79795,0.44253,1.59707,1.17239,0.03967,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,666.298,1.61571,1.25731,0.02962,0.80531,0.71273,0.81663,0.46745,1.52066,1.15728,0.03715,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,720.296,1.59211,1.23411,0.02913,0.8259,0.72841,0.83529,0.49631,1.45498,1.15288,0.03446,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,773.889,1.57081,1.21456,0.02875,0.8711,0.76099,0.8735,0.5292,1.42434,1.00334,0.03431,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,827.752,1.55468,1.18119,0.02822,0.82801,0.77991,0.86996,0.5335,1.40495,1.00266,0.03404,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,881.407,1.53187,1.16378,0.0279,0.87664,0.8002,0.89945,0.55636,1.37747,0.92577,0.03267,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,930.866,1.52829,1.15655,0.02759,0.83742,0.78102,0.8632,0.51421,1.46509,1.08413,0.03532,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,959.718,1.51062,1.13069,0.02732,0.85612,0.76902,0.87424,0.55829,1.34839,0.93207,0.03174,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,989.173,1.4946,1.11235,0.02692,0.86955,0.8119,0.9055,0.57978,1.2971,0.89054,0.03014,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
22,1017.62,1.48982,1.11043,0.02685,0.88618,0.82691,0.91719,0.58083,1.29618,0.84663,0.03046,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
23,1045.97,1.48349,1.10206,0.0268,0.86398,0.78183,0.89162,0.56229,1.29527,0.93261,0.0306,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
24,1074.31,1.46799,1.09221,0.02633,0.88625,0.78264,0.8963,0.57905,1.29254,0.8588,0.03016,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
25,1102.87,1.46036,1.07644,0.02631,0.8648,0.82254,0.90788,0.5673,1.34902,0.88576,0.03221,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
26,1131.27,1.44562,1.06328,0.02595,0.87987,0.82598,0.90464,0.60069,1.26555,0.81695,0.0289,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
27,1159.77,1.4397,1.05188,0.02578,0.79846,0.75028,0.82579,0.52524,1.3119,1.02607,0.03023,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
28,1188.41,1.43413,1.04272,0.02559,0.89837,0.85398,0.9293,0.60525,1.27524,0.79121,0.02951,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
29,1217.12,1.42672,1.02658,0.02558,0.88808,0.81958,0.91554,0.60823,1.24122,0.80795,0.02911,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
30,1245.91,1.4163,1.01956,0.02536,0.90272,0.85498,0.93182,0.61963,1.22116,0.7675,0.02811,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
31,1274.43,1.40326,1.01423,0.02502,0.90153,0.84837,0.93138,0.6321,1.19013,0.76137,0.02746,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
32,1303.16,1.39896,0.99997,0.02487,0.89937,0.865,0.93384,0.62675,1.20921,0.74693,0.02805,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,1332.41,1.39593,1.00044,0.02479,0.88956,0.85477,0.92562,0.61274,1.21757,0.78768,0.028,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,1361.54,1.39166,0.99843,0.02466,0.90976,0.86628,0.94505,0.64114,1.17237,0.72601,0.02666,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,1390.17,1.38724,0.99142,0.02463,0.90218,0.83621,0.9236,0.62956,1.18199,0.74747,0.0268,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,1418.88,1.37393,0.9743,0.02434,0.90458,0.8119,0.91505,0.61737,1.19122,0.74865,0.02693,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,1447.64,1.36733,0.97032,0.02421,0.9122,0.88228,0.94714,0.65867,1.14141,0.68812,0.0259,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,1476.13,1.36665,0.97105,0.02401,0.918,0.8714,0.94734,0.64641,1.16954,0.71479,0.02689,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,1504.62,1.35857,0.96019,0.02402,0.92109,0.87372,0.94257,0.63372,1.1934,0.71919,0.02761,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,1533.08,1.35952,0.96351,0.02388,0.92921,0.88179,0.95232,0.64669,1.17694,0.68339,0.02705,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,1561.6,1.3478,0.9475,0.02368,0.90741,0.85905,0.93056,0.62737,1.2028,0.72208,0.0279,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,1590.34,1.34312,0.94277,0.02381,0.94067,0.88247,0.95489,0.64807,1.11645,0.68532,0.02508,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,1618.87,1.3401,0.93172,0.02357,0.92448,0.89507,0.94703,0.64693,1.16876,0.66926,0.02658,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,1647.43,1.33196,0.93387,0.02348,0.92338,0.89571,0.9535,0.64921,1.15356,0.67859,0.02638,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,1676.23,1.34095,0.92547,0.0235,0.93453,0.88592,0.95554,0.6684,1.12236,0.64273,0.02558,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,1705.23,1.32187,0.91836,0.02323,0.92909,0.88676,0.95063,0.66427,1.1087,0.67187,0.02507,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,1734.21,1.32058,0.92308,0.02321,0.92718,0.88868,0.95218,0.66543,1.11411,0.67667,0.02503,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,1762.76,1.30898,0.91239,0.02295,0.91603,0.89699,0.9555,0.67385,1.09914,0.65323,0.0247,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,1791.28,1.3097,0.90821,0.02309,0.94046,0.87204,0.95545,0.66876,1.10798,0.6537,0.02483,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,1819.74,1.3105,0.90173,0.02284,0.94496,0.90072,0.96069,0.67465,1.0964,0.64055,0.02475,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,1848.2,1.30038,0.8953,0.02282,0.94498,0.89763,0.96108,0.67934,1.10043,0.61557,0.02465,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,1876.53,1.30067,0.88373,0.02275,0.93761,0.90376,0.96039,0.67945,1.08654,0.62637,0.02457,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,1904.92,1.29359,0.88785,0.02271,0.94043,0.91917,0.966,0.68408,1.09094,0.59846,0.02458,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,1934.13,1.29246,0.88023,0.02267,0.9265,0.88713,0.95043,0.67093,1.08958,0.63838,0.0243,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,1963.1,1.28703,0.88074,0.02254,0.94259,0.90915,0.96459,0.68507,1.07181,0.61459,0.02423,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,1991.84,1.28737,0.8747,0.02245,0.9398,0.88676,0.95737,0.67503,1.0721,0.64294,0.024,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,2020.37,1.28375,0.87078,0.02236,0.95127,0.90915,0.96696,0.68795,1.06956,0.61462,0.02416,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,2049.13,1.28246,0.87847,0.02227,0.93929,0.91072,0.96822,0.69153,1.05733,0.616,0.02375,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,2077.94,1.27053,0.85874,0.02221,0.93811,0.91235,0.96518,0.69194,1.0546,0.60417,0.02365,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,2106.17,1.27114,0.85911,0.02206,0.96133,0.90915,0.97029,0.69053,1.07304,0.59421,0.02428,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
