epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,47.1559,3.77437,3.15684,0.08451,0.00306,0.78951,0.01588,0.00273,3.65504,2.95858,0.11045,0.00991525,0.00330508,0.00991525,0.00330508,0.00991525,0.00330508,0.00991525,0.00330508
2,77.4417,3.69794,3.03581,0.08223,0.00166,0.37044,0.0012,0.00026,4.07276,inf,0.14365,0.0198988,0.00663294,0.0198988,0.00663294,0.0198988,0.00663294,0.0198988,0.00663294
3,106.363,3.50924,2.95215,0.07644,0.0001,0.02687,5e-05,1e-05,4.85828,inf,0.29524,0.0298659,0.0099553,0.0298659,0.0099553,0.0298659,0.0099553,0.0298659,0.0099553
